年龄,教育,工龄,收入,负债率,信用卡负债,其他负债,违约,,,
41,3,17,176.00,9.30,11.36,5.01,1,,,
27,1,10,31.00,17.30,1.36,4.00,0,,,
40,1,15,55.00,5.50,0.86,2.17,0,,,
41,1,15,120.00,2.90,2.66,0.82,0,,,
24,2,2,28.00,17.30,1.79,3.06,1,,,
41,2,5,25.00,10.20,0.39,2.16,0,,,
39,1,20,67.00,30.60,3.83,16.67,0,,,
43,1,12,38.00,3.60,0.13,1.24,0,,,
24,1,3,19.00,24.40,1.36,3.28,1,,,
36,1,0,25.00,19.70,2.78,2.15,0,,,
27,1,0,16.00,1.70,0.18,0.09,0,,,
25,1,4,23.00,5.20,0.25,0.94,0,,,
52,1,24,64.00,10.00,3.93,2.47,0,,,
37,1,6,29.00,16.30,1.72,3.01,0,,,
48,1,22,100.00,9.10,3.70,5.40,0,,,
36,2,9,49.00,8.60,0.82,3.40,1,,,
36,2,13,41.00,16.40,2.92,3.81,1,,,
43,1,23,72.00,7.60,1.18,4.29,0,,,
39,1,6,61.00,5.70,0.56,2.91,0,,,
41,3,0,26.00,1.70,0.10,0.34,0,,,
39,1,22,52.00,3.20,1.15,0.51,0,,,
47,1,17,43.00,5.60,0.59,1.82,0,,,
28,1,3,26.00,10.00,0.43,2.17,0,,,
29,1,8,27.00,9.80,0.40,2.24,0,,,
21,2,1,16.00,18.00,0.24,2.64,1,,,
25,4,0,32.00,17.60,2.14,3.49,0,,,
45,2,9,69.00,6.70,0.71,3.92,0,,,
43,1,25,64.00,16.70,0.95,9.74,0,,,
33,2,12,58.00,18.40,3.08,7.59,0,,,
26,3,2,37.00,14.20,0.20,5.05,0,,,
45,1,3,20.00,2.10,0.11,0.32,0,,,
30,1,1,22.00,10.50,1.14,1.17,0,,,
27,3,2,26.00,6.00,0.72,0.84,0,,,
25,1,8,27.00,14.40,1.02,2.87,0,,,
25,1,8,35.00,2.90,0.08,0.94,0,,,
26,2,6,45.00,26.00,6.05,5.65,0,,,
30,2,10,22.00,16.10,1.41,2.13,0,,,
32,2,12,54.00,14.40,3.20,4.58,0,,,
28,2,1,24.00,17.10,1.34,2.77,1,,,
45,1,23,50.00,4.20,0.56,1.54,0,,,
23,1,7,31.00,6.60,0.34,1.71,0,,,
34,1,17,59.00,8.00,1.81,2.91,0,,,
42,2,7,41.00,4.60,0.94,0.94,0,,,
39,1,19,48.00,13.10,1.93,4.36,0,,,
26,1,0,14.00,7.50,0.30,0.75,1,,,
21,2,0,16.00,6.80,0.15,0.94,0,,,
35,1,13,35.00,4.50,0.43,1.14,0,,,
47,1,4,26.00,10.40,0.12,2.58,0,,,
23,2,0,21.00,11.40,0.78,1.62,1,,,
35,1,18,42.00,7.40,0.21,2.90,0,,,
34,1,2,25.00,12.60,0.57,2.58,1,,,
46,1,1,20.00,14.00,0.81,1.99,0,,,
46,1,16,52.00,12.90,3.03,3.68,1,,,
38,3,3,25.00,3.70,0.31,0.61,0,,,
40,2,3,28.00,9.50,0.55,2.11,0,,,
37,1,1,24.00,15.10,1.80,1.82,1,,,
35,1,9,34.00,5.00,0.40,1.30,0,,,
39,2,16,69.00,2.40,1.06,0.59,0,,,
40,3,18,100.00,2.50,1.49,1.02,0,,,
50,3,10,80.00,12.20,2.48,7.28,0,,,
31,1,9,28.00,2.40,0.05,0.62,0,,,
29,1,13,42.00,7.40,1.46,1.65,1,,,
37,1,4,23.00,12.40,0.87,1.98,0,,,
33,2,4,55.00,7.00,2.16,1.69,0,,,
26,2,5,28.00,7.80,1.02,1.16,0,,,
32,2,11,75.00,23.30,7.76,9.72,1,,,
28,2,2,23.00,6.40,0.19,1.29,1,,,
39,1,19,46.00,9.10,2.52,1.67,0,,,
28,2,8,31.00,8.20,1.49,1.05,1,,,
29,1,1,20.00,18.60,0.57,3.15,1,,,
34,2,3,21.00,23.10,1.40,3.45,0,,,
28,2,5,34.00,23.80,3.10,4.99,0,,,
47,1,26,100.00,12.80,4.58,8.22,0,,,
43,4,1,26.00,10.60,1.52,1.24,0,,,
41,1,13,44.00,1.70,0.07,0.68,0,,,
47,1,13,51.00,23.80,3.74,8.40,0,,,
24,1,2,21.00,0.60,0.03,0.10,0,,,
29,1,1,17.00,6.70,0.16,0.98,0,,,
33,1,14,37.00,2.60,0.20,0.76,0,,,
36,1,15,39.00,3.20,0.69,0.56,0,,,
26,1,4,27.00,10.50,2.47,0.36,1,,,
31,1,11,45.00,17.00,2.74,4.91,0,,,
37,1,7,32.00,19.60,2.70,3.58,0,,,
35,4,4,29.00,11.00,1.84,1.35,0,,,
26,1,4,20.00,5.40,0.32,0.76,0,,,
40,1,10,45.00,18.80,2.01,6.45,0,,,
29,2,5,36.00,12.40,3.49,0.97,1,,,
37,3,5,29.00,24.60,1.41,5.73,0,,,
32,1,12,28.00,2.90,0.12,0.70,0,,,
23,2,0,17.00,27.70,2.04,2.67,1,,,
32,1,3,23.00,6.20,0.05,1.37,0,,,
25,1,1,15.00,11.40,0.37,1.34,1,,,
38,1,5,54.00,10.60,1.50,4.22,0,,,
32,2,0,18.00,5.80,0.30,0.75,1,,,
41,3,2,15.00,26.30,1.96,1.98,1,,,
36,1,17,54.00,4.40,0.73,1.65,0,,,
42,3,13,82.00,3.30,1.32,1.39,0,,,
41,1,14,52.00,7.30,0.93,2.87,0,,,
29,2,4,19.00,6.30,0.68,0.52,0,,,
38,3,4,31.00,9.30,1.33,1.55,1,,,
39,1,22,113.00,2.60,0.99,1.95,0,,,
36,1,6,26.00,8.30,0.03,2.13,0,,,
33,1,8,27.00,5.80,0.78,0.79,0,,,
42,2,21,121.00,3.10,1.37,2.39,0,,,
41,2,22,75.00,23.60,9.88,7.82,0,,,
40,1,8,28.00,3.60,0.53,0.47,0,,,
53,1,9,50.00,11.20,2.02,3.58,1,,,
28,1,4,26.00,13.50,1.30,2.21,0,,,
36,2,12,60.00,7.90,1.72,3.02,0,,,
34,2,9,45.00,10.10,1.12,3.43,0,,,
45,3,2,39.00,4.90,0.46,1.45,0,,,
38,1,6,41.00,8.90,0.27,3.38,0,,,
21,3,0,24.00,7.70,0.83,1.01,0,,,
42,1,12,51.00,21.40,2.41,8.50,0,,,
52,1,16,64.00,8.60,1.87,3.64,0,,,
25,2,4,33.00,5.20,0.55,1.16,0,,,
34,2,9,65.00,6.20,2.11,1.92,0,,,
40,2,15,73.00,3.40,1.03,1.45,0,,,
31,2,0,27.00,12.80,1.09,2.37,1,,,
25,1,1,20.00,6.70,0.47,0.87,1,,,
45,1,12,37.00,9.50,1.34,2.17,0,,,
23,1,3,19.00,8.40,0.28,1.32,1,,,
34,4,6,27.00,35.30,1.98,7.55,1,,,
31,1,2,22.00,12.70,1.09,1.70,1,,,
28,1,5,22.00,2.80,0.14,0.48,0,,,
41,1,7,43.00,4.40,0.69,1.20,0,,,
39,2,7,68.00,13.00,1.02,7.82,1,,,
29,2,9,36.00,1.40,0.13,0.38,0,,,
21,1,5,25.00,9.00,0.37,1.88,0,,,
41,2,19,68.00,5.80,1.51,2.44,0,,,
26,4,1,27.00,2.90,0.31,0.47,0,,,
33,1,5,18.00,12.90,0.98,1.34,0,,,
45,2,18,35.00,17.40,0.55,5.54,0,,,
39,1,17,60.00,13.70,2.45,5.77,0,,,
24,1,7,21.00,6.30,0.52,0.80,0,,,
29,2,6,57.00,2.20,0.45,0.80,0,,,
27,2,1,23.00,12.40,0.29,2.57,0,,,
40,1,13,28.00,5.90,0.96,0.69,0,,,
29,1,8,24.00,6.70,0.47,1.14,0,,,
29,2,4,37.00,6.60,1.16,1.28,1,,,
24,1,0,16.00,16.00,1.01,1.55,1,,,
27,1,9,45.00,17.80,2.85,5.16,1,,,
41,3,16,135.00,4.40,1.28,4.66,0,,,
31,1,11,25.00,9.10,0.14,2.13,0,,,
41,1,16,68.00,5.40,0.45,3.22,0,,,
42,2,5,41.00,3.40,0.36,1.04,0,,,
28,4,1,26.00,12.40,0.38,2.85,0,,,
30,4,2,25.00,10.00,1.77,0.73,0,,,
30,1,11,33.00,8.40,0.68,2.09,0,,,
31,1,8,44.00,8.00,1.72,1.80,0,,,
45,2,15,51.00,18.10,1.55,7.68,0,,,
43,1,13,76.00,6.10,2.15,2.48,1,,,
36,1,4,23.00,16.30,1.33,2.42,0,,,
28,1,8,30.00,7.20,0.61,1.55,0,,,
27,2,3,33.00,13.20,1.63,2.72,0,,,
36,3,13,39.00,19.20,2.80,4.69,0,,,
33,1,12,32.00,11.30,2.10,1.51,0,,,
54,1,9,28.00,14.80,1.56,2.59,1,,,
33,1,9,29.00,13.80,1.35,2.65,1,,,
31,1,9,26.00,4.50,0.31,0.86,0,,,
21,1,4,26.00,8.90,1.42,0.89,0,,,
28,3,5,44.00,8.70,0.77,3.05,0,,,
31,2,2,26.00,6.80,0.28,1.49,1,,,
32,1,8,26.00,4.10,0.33,0.74,0,,,
35,2,1,24.00,12.50,0.59,2.41,1,,,
40,2,13,102.00,18.90,6.23,13.05,1,,,
22,1,4,24.00,15.60,1.64,2.11,1,,,
39,1,4,38.00,6.50,1.18,1.29,0,,,
41,4,14,44.00,1.70,0.35,0.39,0,,,
34,1,16,79.00,4.00,1.73,1.43,0,,,
29,1,7,22.00,9.70,0.55,1.58,0,,,
31,1,4,28.00,11.30,0.29,2.87,0,,,
32,1,1,20.00,4.80,0.31,0.65,1,,,
32,1,14,73.00,8.80,3.75,2.67,0,,,
33,1,6,21.00,7.50,0.57,1.01,0,,,
26,1,6,22.00,10.30,0.72,1.55,0,,,
21,1,1,18.00,17.30,0.16,2.96,0,,,
28,2,7,34.00,7.00,0.36,2.02,0,,,
37,1,13,24.00,8.90,0.60,1.53,0,,,
33,2,2,35.00,22.90,2.12,5.89,1,,,
39,1,12,46.00,5.00,0.56,1.74,0,,,
40,2,8,57.00,5.60,0.88,2.31,0,,,
45,3,16,80.00,3.00,0.91,1.49,0,,,
27,1,10,34.00,6.50,0.85,1.36,0,,,
28,4,0,29.00,24.20,1.42,5.59,0,,,
39,1,13,27.00,8.00,0.97,1.19,0,,,
40,1,14,43.00,15.00,2.79,3.66,1,,,
27,1,11,56.00,16.90,4.64,4.83,0,,,
36,1,1,16.00,9.30,0.43,1.05,0,,,
55,1,19,78.00,15.60,4.40,7.76,0,,,
27,2,4,22.00,13.20,1.09,1.82,1,,,
30,1,1,17.00,11.00,0.75,1.12,0,,,
36,1,10,28.00,11.20,0.82,2.32,1,,,
31,1,1,21.00,2.50,0.28,0.25,1,,,
33,2,13,40.00,7.20,0.18,2.70,0,,,
30,1,4,33.00,4.20,0.50,0.89,0,,,
24,1,1,18.00,5.90,0.24,0.82,1,,,
33,4,9,28.00,4.30,0.38,0.83,0,,,
50,1,8,47.00,6.90,0.40,2.84,0,,,
31,2,6,32.00,23.10,3.34,4.05,1,,,
28,1,3,19.00,4.10,0.26,0.52,0,,,
44,3,8,88.00,6.10,0.28,5.08,1,,,
48,4,3,45.00,9.80,0.97,3.44,0,,,
36,2,0,30.00,9.70,0.33,2.58,0,,,
29,3,7,63.00,5.50,0.57,2.89,0,,,
40,3,17,116.00,6.00,2.56,4.40,0,,,
33,1,7,26.00,6.00,0.54,1.02,0,,,
26,2,6,30.00,1.00,0.14,0.16,0,,,
36,1,14,81.00,7.20,1.78,4.05,0,,,
26,2,6,35.00,1.90,0.09,0.58,0,,,
40,3,16,116.00,12.10,1.61,12.42,0,,,
44,1,5,48.00,9.00,1.97,2.35,1,,,
29,3,1,30.00,4.50,0.28,1.07,0,,,
35,3,5,37.00,5.40,0.58,1.42,1,,,
34,1,16,75.00,10.40,3.95,3.85,0,,,
34,3,12,47.00,6.70,1.30,1.85,0,,,
46,1,14,35.00,10.20,1.35,2.22,0,,,
41,2,21,145.00,12.20,3.24,14.45,0,,,
27,2,7,30.00,4.00,0.45,0.75,1,,,
27,4,0,70.00,8.00,1.62,3.98,1,,,
28,1,11,24.00,2.40,0.11,0.47,0,,,
48,3,0,19.00,10.80,0.85,1.20,0,,,
48,3,17,113.00,12.00,3.38,10.18,0,,,
29,3,5,70.00,19.90,3.18,10.75,1,,,
43,2,9,60.00,20.40,4.04,8.20,1,,,
23,1,5,17.00,7.90,0.30,1.04,0,,,
29,2,10,44.00,18.10,3.70,4.26,0,,,
40,4,5,75.00,1.90,0.88,0.54,0,,,
22,2,0,20.00,5.60,0.21,0.91,0,,,
23,1,7,22.00,14.40,0.85,2.32,0,,,
46,3,9,60.00,15.30,1.61,7.57,0,,,
55,1,3,40.00,8.00,0.56,2.64,1,,,
38,2,8,38.00,0.60,0.03,0.20,0,,,
35,2,5,33.00,2.80,0.10,0.82,0,,,
30,1,11,27.00,0.90,0.07,0.17,0,,,
24,1,7,18.00,6.50,0.53,0.64,0,,,
26,2,4,28.00,9.50,0.23,2.43,0,,,
32,2,2,15.00,9.10,0.12,1.25,1,,,
37,2,11,75.00,3.50,0.63,1.99,0,,,
39,1,6,42.00,19.90,2.54,5.82,1,,,
30,2,4,21.00,18.30,0.49,3.35,0,,,
30,1,10,39.00,9.50,2.06,1.65,0,,,
32,2,7,32.00,4.30,0.43,0.94,0,,,
54,3,21,118.00,14.40,9.60,7.39,0,,,
27,3,3,35.00,13.30,1.60,3.05,0,,,
31,1,12,31.00,23.70,2.06,5.29,0,,,
39,1,15,39.00,1.80,0.14,0.56,0,,,
31,1,5,25.00,14.10,1.18,2.35,0,,,
35,1,15,40.00,18.50,1.21,6.19,0,,,
35,2,10,98.00,13.30,4.87,8.16,0,,,
46,2,22,144.00,11.10,3.32,12.66,0,,,
33,1,13,52.00,21.30,2.71,8.36,1,,,
35,2,13,105.00,1.90,1.42,0.58,0,,,
35,2,1,21.00,7.90,0.37,1.29,0,,,
38,1,5,21.00,9.00,0.45,1.44,0,,,
41,1,19,96.00,7.80,2.25,5.23,0,,,
38,1,18,44.00,4.50,0.61,1.37,0,,,
34,3,2,39.00,13.20,1.14,4.01,0,,,
51,3,16,82.00,4.40,2.60,1.00,0,,,
34,2,10,33.00,9.50,0.57,2.56,0,,,
47,1,15,30.00,24.50,2.21,5.14,0,,,
34,2,8,78.00,5.40,2.16,2.06,0,,,
27,2,8,18.00,11.90,0.40,1.74,0,,,
52,1,9,24.00,19.20,0.80,3.81,1,,,
39,1,9,35.00,5.00,0.23,1.52,0,,,
33,1,7,22.00,6.40,0.63,0.78,0,,,
34,1,0,21.00,7.20,0.19,1.32,0,,,
31,3,9,59.00,14.60,3.11,5.50,1,,,
28,1,2,16.00,15.20,0.87,1.56,0,,,
39,1,19,45.00,3.70,0.92,0.75,0,,,
51,2,22,120.00,7.60,4.14,4.98,0,,,
22,1,4,16.00,1.20,0.08,0.11,0,,,
